[1, tensor(1.5612, device='cuda:0', grad_fn=<DivBackward0>), 0.32796409310445235]
[2, tensor(1.6330, device='cuda:0', grad_fn=<DivBackward0>), 0.3156901950800451]
[3, tensor(1.5597, device='cuda:0', grad_fn=<DivBackward0>), 0.3257103626789011]
[4, tensor(1.5181, device='cuda:0', grad_fn=<DivBackward0>), 0.311135893499333]
[5, tensor(1.5081, device='cuda:0', grad_fn=<DivBackward0>), 0.3270158826182948]
[6, tensor(1.5448, device='cuda:0', grad_fn=<DivBackward0>), 0.33854365685297544]
[7, tensor(1.5045, device='cuda:0', grad_fn=<DivBackward0>), 0.3349198047571141]
[8, tensor(1.5078, device='cuda:0', grad_fn=<DivBackward0>), 0.32563724827359125]
[9, tensor(1.4352, device='cuda:0', grad_fn=<DivBackward0>), 0.3253468162182099]
[10, tensor(1.4300, device='cuda:0', grad_fn=<DivBackward0>), 0.3245940745910041]
[11, tensor(1.5705, device='cuda:0', grad_fn=<DivBackward0>), 0.32556832407739195]
[12, tensor(1.4835, device='cuda:0', grad_fn=<DivBackward0>), 0.3434104579713403]
[13, tensor(1.3914, device='cuda:0', grad_fn=<DivBackward0>), 0.3314831645820674]
[14, tensor(1.3963, device='cuda:0', grad_fn=<DivBackward0>), 0.3328727555137378]
[15, tensor(1.5043, device='cuda:0', grad_fn=<DivBackward0>), 0.3280486304664206]
[16, tensor(1.4725, device='cuda:0', grad_fn=<DivBackward0>), 0.33784903693947926]
[17, tensor(1.5142, device='cuda:0', grad_fn=<DivBackward0>), 0.3243719213640486]
[18, tensor(1.4683, device='cuda:0', grad_fn=<DivBackward0>), 0.33488695505190585]
[19, tensor(1.4760, device='cuda:0', grad_fn=<DivBackward0>), 0.3313063886010802]
[20, tensor(1.4895, device='cuda:0', grad_fn=<DivBackward0>), 0.33745910650361066]
[21, tensor(1.4459, device='cuda:0', grad_fn=<DivBackward0>), 0.31673683060483826]
[22, tensor(1.4526, device='cuda:0', grad_fn=<DivBackward0>), 0.31881553266967083]
[23, tensor(1.4351, device='cuda:0', grad_fn=<DivBackward0>), 0.3329046069724185]
[24, tensor(1.4470, device='cuda:0', grad_fn=<DivBackward0>), 0.3256182139901847]
[25, tensor(1.4461, device='cuda:0', grad_fn=<DivBackward0>), 0.33755333085691874]
