[1, tensor(0.6737, device='cuda:0', grad_fn=<DivBackward0>), 0.7902487859008399]
[2, tensor(0.6713, device='cuda:0', grad_fn=<DivBackward0>), 0.8937310585782755]
[3, tensor(0.6688, device='cuda:0', grad_fn=<DivBackward0>), 0.9193377679633219]
[4, tensor(0.6665, device='cuda:0', grad_fn=<DivBackward0>), 0.9182249535407813]
[5, tensor(0.6640, device='cuda:0', grad_fn=<DivBackward0>), 0.9208862104071738]
[6, tensor(0.6613, device='cuda:0', grad_fn=<DivBackward0>), 0.919736668660229]
[7, tensor(0.6598, device='cuda:0', grad_fn=<DivBackward0>), 0.9201995752936237]
[8, tensor(0.6576, device='cuda:0', grad_fn=<DivBackward0>), 0.9194485003639878]
[9, tensor(0.6556, device='cuda:0', grad_fn=<DivBackward0>), 0.9184432640177876]
[10, tensor(0.6535, device='cuda:0', grad_fn=<DivBackward0>), 0.9175793002883608]
[11, tensor(0.6518, device='cuda:0', grad_fn=<DivBackward0>), 0.9184373942112717]
[12, tensor(0.6519, device='cuda:0', grad_fn=<DivBackward0>), 0.9203113479738395]
[13, tensor(0.6515, device='cuda:0', grad_fn=<DivBackward0>), 0.9184807393608138]
[14, tensor(0.6512, device='cuda:0', grad_fn=<DivBackward0>), 0.9222735533779071]
[15, tensor(0.6510, device='cuda:0', grad_fn=<DivBackward0>), 0.9180507244161915]
[16, tensor(0.6511, device='cuda:0', grad_fn=<DivBackward0>), 0.9166840743420772]
[17, tensor(0.6507, device='cuda:0', grad_fn=<DivBackward0>), 0.9190751881535384]
[18, tensor(0.6505, device='cuda:0', grad_fn=<DivBackward0>), 0.9173955356129505]
[19, tensor(0.6504, device='cuda:0', grad_fn=<DivBackward0>), 0.9190643573877125]
[20, tensor(0.6499, device='cuda:0', grad_fn=<DivBackward0>), 0.9171676973223158]
[21, tensor(0.6496, device='cuda:0', grad_fn=<DivBackward0>), 0.9210748306212848]
[22, tensor(0.6497, device='cuda:0', grad_fn=<DivBackward0>), 0.9198737648198322]
[23, tensor(0.6495, device='cuda:0', grad_fn=<DivBackward0>), 0.9180573127585709]
[24, tensor(0.6492, device='cuda:0', grad_fn=<DivBackward0>), 0.9203962278273995]
[25, tensor(0.6489, device='cuda:0', grad_fn=<DivBackward0>), 0.9204110593947725]
